;t = 0;t = 5;t = 10;t = 15;t = 20;t = 25;t = 30;t = 35;t = 40;t = 45

Garten_Cam_03
FPS (geglättet);21,3;21,4;20,8;22,3;23,4;21,9;21,0;22,2;20,8;21,7
FPS Min;16,7;16,0;16,7;14,4;15,5;16,3;15,5;14,9;14,9;15,1
FPS Max;24,9;26,7;26,7;28,7;27,5;26,7;28,4;29,7;29,4;33,3
Standardabweichung;2,16;2,95;2,81;3,39;3,20;2,77;3,05;3,50;3,39;3,93
Latenz;5ms;5ms;5ms;5ms;5ms;5ms;5ms;5ms;5ms;5ms

Garten_Cam_01
FPS (geglättet);21,9;20,7;21,5;21,6;22,4;23,0;21,9;21,9;20,9;20,5
FPS Min;15,7;14,5;15,0;14,1;14,8;14,4;14,7;13,3;14,8;15,5
FPS Max;28,2;34,3;31,5;31,8;29,1;33,7;28,4;32,4;30,2;26,7
Standardabweichung;3,10;4,10;3,87;4,68;3,73;4,08;3,12;4,08;3,42;2,75
Latenz;4ms;4ms;4ms;4ms;4ms;4ms;4ms;4ms;4ms;4ms

Garten_Cam_02
FPS (geglättet);19,7;19,1;18,8;18,5;18,3;19,0;19,5;19,0;18,4;19,2
FPS Min;14,1;13,3;13,7;12,1;12,3;12,0;12,2;12,8;12,2;12,0
FPS Max;26,2;23,2;25,5;22,8;24,1;25,4;23,9;25,4;24,9;25,1
Standardabweichung;2,94;2,29;3,06;2,84;2,92;3,05;2,98;2,86;3,19;3,50
Latenz;5ms;5ms;5ms;5ms;5ms;5ms;5ms;5ms;5ms;5ms
