Zeitpunkt (t);Garten_Cam_01_FPS_geglaettet;Garten_Cam_01_FPS_Min;Garten_Cam_01_FPS_Max;Garten_Cam_01_Standardabweichung;Garten_Cam_01_Latenz;Garten_Cam_02_FPS_geglaettet;Garten_Cam_02_FPS_Min;Garten_Cam_02_FPS_Max;Garten_Cam_02_Standardabweichung;Garten_Cam_02_Latenz;Garten_Cam_03_FPS_geglaettet;Garten_Cam_03_FPS_Min;Garten_Cam_03_FPS_Max;Garten_Cam_03_Standardabweichung;Garten_Cam_03_Latenz
t = 0;26,0;13,6;35,3;5,68;11ms;16,9;10,4;23,8;3,52;20ms;24,4;13,8;31,5;4,23;6ms
t = 5;22,5;13,4;35,0;5,78;11ms;16,0;9,0;21,6;3,73;16ms;29,6;11,5;39,8;6,72;6ms
t = 10;23,1;11,6;37,7;6,16;11ms;15,2;9,5;22,0;3,59;16ms;27,8;11,5;35,0;5,93;6ms
t = 15;23,6;13,7;34,9;5,60;11ms;18,3;10,8;23,6;3,45;15ms;22,4;14,2;32,2;4,36;6ms
t = 20;24,2;11,1;32,8;5,38;11ms;14,9;8,7;22,8;4,51;17ms;23,2;12,9;32,8;5,46;6ms
t = 25;24,6;12,4;35,5;5,91;11ms;16,4;8,5;23,3;4,00;20ms;22,8;12,1;46,1;7,42;8ms
t = 30;24,1;13,0;33,5;5,67;11ms;16,0;10,4;24,6;3,34;19ms;26,4;13,5;32,2;4,34;8ms
t = 35;23,2;12,6;31,1;4,91;10ms;15,2;10,0;26,9;4,18;12ms;23,6;13,1;37,8;5,19;8ms
t = 40;22,0;13,1;37,6;5,80;10ms;16,0;10,8;23,5;3,58;12ms;22,7;14,1;34,9;5,21;8ms
t = 45;24,1;12,9;33,7;5,05;10ms;16,3;10,0;22,4;3,45;12ms;24,4;14,5;31,4;4,23;8ms
